 -2.19714 -2.19714 -2.19686 -2.19686 -0.61608 -0.61608 -0.11816 -0.11816
  0.18607  0.18607  0.30861  0.30861  0.40781  0.40781  0.52886  0.52886
  0.57523  0.57523  0.69976  0.69976  0.88993  0.88993  0.96863  0.96863
  1.01099  1.01099  1.19185  1.19185  1.35850  1.35850  1.37830  1.37830
   YP 1(  6  0 12)/ 36     N.O.ENERGY= 48
 -2.25494 -2.25494 -2.25344 -2.25344 -2.25269 -2.25269 -2.25149 -2.25149
 -2.20266 -2.20266 -2.20202 -2.20202 -2.20093 -2.20093 -2.19769 -2.19769
 -2.19709 -2.19709 -2.19680 -2.19680 -0.62597 -0.62597 -0.08888 -0.08888
  0.21997  0.21997  0.29922  0.29922  0.36181  0.36181  0.55869  0.55869
  0.60463  0.60463  0.66806  0.66806  0.87531  0.87531  0.95836  0.95836
  0.96285  0.96285  1.21801  1.21801  1.30930  1.30930  1.31565  1.31565
   YP 1(  6  0  6)/ 36     N.O.ENERGY= 48
 -2.25496 -2.25496 -2.25345 -2.25345 -2.25271 -2.25271 -2.25149 -2.25149
 -2.20268 -2.20268 -2.20205 -2.20205 -2.20097 -2.20097 -2.19767 -2.19767
 -2.19707 -2.19707 -2.19676 -2.19676 -0.63206 -0.63206 -0.06747 -0.06747
  0.25858  0.25858  0.28793  0.28793  0.31689  0.31689  0.58358  0.58358
  0.62689  0.62689  0.64169  0.64169  0.87280  0.87280  0.92543  0.92543
  0.96548  0.96548  1.24270  1.24270  1.25335  1.25335  1.27111  1.27111
   XP 1(  0 12  0)/ 36     N.O.ENERGY= 48
 -2.25466 -2.25466 -2.25361 -2.25361 -2.25233 -2.25233 -2.25156 -2.25156
 -2.20244 -2.20244 -2.20176 -2.20176 -2.20015 -2.20015 -2.19862 -2.19862
 -2.19757 -2.19757 -2.19682 -2.19682 -0.56063 -0.56063 -0.20923 -0.20923
  0.22866  0.22866  0.26298  0.26298  0.28897  0.28897  0.50967  0.50967
